drug,ccle_drug_name,ccle_target,gdsc_drug_name,gdsc_synonyms,gdsc_target,gdsc_target_pathway,ctrp_drug_name,ctrp_target,ctrp_target_description,synonyms,targets
regorafenib,,,,,,,regorafenib,BRAF; KDR; KIT; RET,"inhibitor of BRAF, RET, KIT, and VEGFR2",regorafenib,BRAF; RET; KDR; KIT
repligen 136,,,,,,,Repligen 136,HDAC3,inhibitor of HDAC3,Repligen 136,HDAC3
rg-108,,,,,,,RG-108,DNMT1,inhibitor of DNA methyltransferase,RG-108,DNMT1
rigosertib,,,,,,,rigosertib,PIK3CA; PIK3CB; PLK1,inhibitor of polo-like kinase 1; inhibitor of PI3K catalytic subunits alpha and beta,rigosertib,PIK3CB; PIK3CA; PLK1
rita,,,,,,,RITA,MDM2; TP53,inhibitor of p53-MDM2 interaction,RITA,TP53; MDM2
ro-3306,,,RO-3306,,CDK1,Cell cycle,,,,RO-3306,CDK1
ro4929097,,,,,,,RO4929097,APH1A; NCSTN; PSEN1; PSENEN,inhibitor of gamma-secretase,RO4929097,PSEN1; APH1A; NCSTN; PSENEN
rtrail,,,rTRAIL,,TRAIL receptor agonist,Apoptosis regulation,,,,rTRAIL,TRAIL receptor agonist
rucaparib,,,Rucaparib,"PF-01367338, AG-014699, AG-14447, AG-14699",PARP1; PARP2,Genome integrity,,,,AG-14699; PF-01367338; AG-14447; Rucaparib; AG-014699,PARP1; PARP2
ruxolitinib,,,Ruxolitinib,"INCB-18424, Ruxolitinib Phosphate, Jakafi",JAK1; JAK2,"Other, kinases",ruxolitinib,JAK1; JAK2,inhibitor of Janus kinases 1 and 2,Jakafi; Ruxolitinib; INCB-18424; Ruxolitinib Phosphate; ruxolitinib,JAK2; JAK1
s-trityl-l-cysteine,,,S-Trityl-L-cysteine,"NSC 83265, Tritylcysteine",KIF11,Mitosis,,,,NSC 83265; S-Trityl-L-cysteine; Tritylcysteine,KIF11
salermide,,,,,,,salermide,SIRT1; SIRT2,inhibitor of sirtuin 1 and sirtuin 2,salermide,SIRT2; SIRT1
salermide:plx-4032 (12:1 mol/mol),,,,,,,salermide:PLX-4032 (12:1 mol/mol),SIRT1; SIRT2; BRAF,inhibitor of sirtuin 1 and sirtuin 2;inhibitor of BRAF,salermide:PLX-4032 (12:1 mol/mol),BRAF; SIRT2; SIRT1
salubrinal,,,Salubrinal,EIF-2alpha Inhibitor,EIF2A,Other,,,,EIF-2alpha Inhibitor; Salubrinal,EIF2A
saracatinib,AZD0530,ABL,Saracatinib,"AZD0530, AZD-0530, AZ-10353926",ABL; SRC,RTK signaling,saracatinib,ABL1; SRC,inhibitor of SRC and ABL1,AZD0530; AZD-0530; AZ-10353926; saracatinib; Saracatinib,ABL; ABL1; SRC
sb-225002,,,,,,,SB-225002,CXCR2,inhibitor of chemokine receptor 2,SB-225002,CXCR2
sb-431542,,,,,,,SB-431542,TGFBR1,inhibitor of the transforming growth factor beta type 1 receptor,SB-431542,TGFBR1
sb-525334,,,,,,,SB-525334,TGFBR1,inhibitor of the transforming growth factor beta type 1 receptor,SB-525334,TGFBR1
sb-743921,,,,,,,SB-743921,KIF11,inhibitor of kinesin 11,SB-743921,KIF11
sb216763,,,SB216763,"SB-216763, SB 216763",GSK3A; GSK3B,WNT signaling,,,,SB-216763; SB 216763; SB216763,GSK3B; GSK3A
sb505124,,,SB505124,"SB 505124, SB505124",ALK4; ALK5,RTK signaling,,,,SB 505124; SB505124,ALK4; ALK5
sb52334,,,SB52334,"SB-52334, SB 52334",ALK5,RTK signaling,,,,SB 52334; SB-52334; SB52334,ALK5
sb590885,,,SB590885,SB-590885,BRAF,ERK MAPK signaling,,,,SB590885; SB-590885,BRAF
sch-529074,,,,,,,SCH-529074,TP53,activator of mutant p53,SCH-529074,TP53
sch-79797,,,,,,,SCH-79797,F2R,antagonist of proteinase-activated receptor 1 (PAR1),SCH-79797,F2R
seliciclib,,,Seliciclib,"Roscovitine, CYC-202, AL-39256",CDK2; CDK7; CDK9,Cell cycle,,,,CYC-202; Seliciclib; Roscovitine; AL-39256,CDK7; CDK2; CDK9
selisistat,,,Selisistat,"EX-527, EX 527",SIRT1,Chromatin histone acetylation,EX-527,SIRT1,inhibitor of sirtuin 1,EX-527; Selisistat; EX 527,SIRT1
selumetinib,AZD6244,MEK,Selumetinib,"AZD6244, AZD-6244, ARRY-886",MEK1; MEK2,ERK MAPK signaling,selumetinib,MAP2K1; MAP2K2,inhibitor of MEK1 and MEK2,Selumetinib; ARRY-886; selumetinib; AZD-6244; AZD6244,MEK1; MEK2; MAP2K2; MAP2K1; MEK
selumetinib:brd-a02303741 (4:1 mol/mol),,,,,,,selumetinib:BRD-A02303741 (4:1 mol/mol),MAP2K1; MAP2K2; DOT1L,inhibitor of MEK1 and MEK2;inhibitor of histone methyltransferases,selumetinib:BRD-A02303741 (4:1 mol/mol),MAP2K1; DOT1L; MAP2K2
selumetinib:decitabine (4:1 mol/mol),,,,,,,selumetinib:decitabine (4:1 mol/mol),MAP2K1; MAP2K2; DNMT1,inhibitor of MEK1 and MEK2;inhibitor of DNA methyltransferase,selumetinib:decitabine (4:1 mol/mol),MAP2K1; DNMT1; MAP2K2
selumetinib:gdc-0941 (4:1 mol/mol),,,,,,,selumetinib:GDC-0941 (4:1 mol/mol),MAP2K1; MAP2K2; PIK3CA; PIK3CB; PIK3CD; PIK3CG,inhibitor of MEK1 and MEK2;inhibitor of PI3K kinase activity,selumetinib:GDC-0941 (4:1 mol/mol),PIK3CA; MAP2K2; MAP2K1; PIK3CB; PIK3CG; PIK3CD
selumetinib:jq-1 (4:1 mol/mol),,,,,,,selumetinib:JQ-1 (4:1 mol/mol),MAP2K1; MAP2K2; BRDT,inhibitor of MEK1 and MEK2;inhibitor of bromodomain (BRD) and extra-C terminal domain (BET) proteins,selumetinib:JQ-1 (4:1 mol/mol),MAP2K1; BRDT; MAP2K2
selumetinib:mk-2206 (8:1 mol/mol),,,,,,,selumetinib:MK-2206 (8:1 mol/mol),MAP2K1; MAP2K2; AKT1,inhibitor of MEK1 and MEK2;inhibitor of AKT1,selumetinib:MK-2206 (8:1 mol/mol),MAP2K1; AKT1; MAP2K2
selumetinib:navitoclax (8:1 mol/mol),,,,,,,selumetinib:navitoclax (8:1 mol/mol),MAP2K1; MAP2K2; BCL2; BCL2L1; BCL2L2,"inhibitor of MEK1 and MEK2;inhibitor of BCL2, BCL-xL, and BCL-W",selumetinib:navitoclax (8:1 mol/mol),BCL2; BCL2L2; BCL2L1; MAP2K2; MAP2K1
selumetinib:piperlongumine (8:1 mol/mol),,,,,,,selumetinib:piperlongumine (8:1 mol/mol),MAP2K1; MAP2K2,inhibitor of MEK1 and MEK2;natural product; modulator of ROS levels,selumetinib:piperlongumine (8:1 mol/mol),MAP2K1; MAP2K2
selumetinib:plx-4032 (8:1 mol/mol),,,,,,,selumetinib:PLX-4032 (8:1 mol/mol),MAP2K1; MAP2K2; BRAF,inhibitor of MEK1 and MEK2;inhibitor of BRAF,selumetinib:PLX-4032 (8:1 mol/mol),MAP2K1; BRAF; MAP2K2
selumetinib:tretinoin (2:1 mol/mol),,,,,,,selumetinib:tretinoin (2:1 mol/mol),MAP2K1; MAP2K2; RARA; RARB; RARG,inhibitor of MEK1 and MEK2;agonist of retinoid acid receptors,selumetinib:tretinoin (2:1 mol/mol),RARG; RARA; RARB; MAP2K1; MAP2K2
selumetinib:unc0638 (4:1 mol/mol),,,,,,,selumetinib:UNC0638 (4:1 mol/mol),MAP2K1; MAP2K2; EHMT1; EHMT2,inhibitor of MEK1 and MEK2;inhibitor of EHMT2 and GLP methyltransferase,selumetinib:UNC0638 (4:1 mol/mol),MAP2K1; EHMT1; EHMT2; MAP2K2
selumetinib:vorinostat (8:1 mol/mol),,,,,,,selumetinib:vorinostat (8:1 mol/mol),MAP2K1; MAP2K2; HDAC1; HDAC2; HDAC3; HDAC6; HDAC8,"inhibitor of MEK1 and MEK2;inhibitor of HDAC1, HDAC2, HDAC3, HDAC6, and HDAC8",selumetinib:vorinostat (8:1 mol/mol),HDAC8; HDAC1; HDAC3; HDAC2; MAP2K2; MAP2K1; HDAC6
semagacestat,,,,,,,semagacestat,APH1A; NCSTN; PSEN1; PSENEN,inhibitor of gamma-secretase,semagacestat,PSEN1; APH1A; NCSTN; PSENEN
sepantronium bromide,,,Sepantronium bromide,"YM155, YM-155, YM 155",BIRC5,Apoptosis regulation,YM-155,BIRC5,inhibitor of survivin expression,Sepantronium bromide; YM 155; YM155; YM-155,BIRC5
serdemetan,,,Serdemetan,JNJ-26854165,MDM2,p53 pathway,serdemetan,MDM2,inhibitor of MDM2,JNJ-26854165; Serdemetan; serdemetan,MDM2
serdemetan:sch-529074 (1:1 mol/mol),,,,,,,serdemetan:SCH-529074 (1:1 mol/mol),MDM2; TP53,inhibitor of MDM2;activator of mutant p53,serdemetan:SCH-529074 (1:1 mol/mol),TP53; MDM2
sgc0946,,,SGC0946,,DOT1L,Chromatin histone methylation,,,,SGC0946,DOT1L
sgx-523,,,,,,,SGX-523,MET,inhibitor of MET,SGX-523,MET
shikonin,,,Shikonin,Anchusin,not defined,Other,,,,Anchusin; Shikonin,not defined
sid 26681509,,,,,,,SID 26681509,CTSL1,inhibitor of cathepsin L,SID 26681509,CTSL1
sildenafil,,,,,,,sildenafil,PDE5A,inhibitor of phosphodiesterase 5A,sildenafil,PDE5A
silmitasertib,,,,,,,silmitasertib,CSNK2A1; CSNK2A2,inhibitor of casein kinase 2,silmitasertib,CSNK2A1; CSNK2A2
simvastatin,,,,,,,simvastatin,HMGCR,inhibitor of HMG-CoA reductase,simvastatin,HMGCR
sirolimus,,,Rapamycin,"AY-22989, Sirolimus, WY-090217, Torisel, Rapamune",MTORC1,PI3K/MTOR signaling,sirolimus,MTOR,inhibitor of mTOR,WY-090217; AY-22989; Sirolimus; Torisel; Rapamycin; Rapamune; sirolimus,MTORC1; MTOR
sirolimus:bortezomib (250:1 mol/mol),,,,,,,sirolimus:bortezomib (250:1 mol/mol),MTOR; PSMB1; PSMB2; PSMB5; PSMD1; PSMD2,inhibitor of mTOR;inhibitor of 26S proteasome,sirolimus:bortezomib (250:1 mol/mol),PSMB5; PSMD2; PSMB2; PSMD1; MTOR; PSMB1
sitagliptin,,,,,,,sitagliptin,DPP4,inhibitor of dipetidyl peptidase-4,sitagliptin,DPP4
sj-172550,,,,,,,SJ-172550,MDM2; TP53,inhibitor of p53-MDM2 interaction,SJ-172550,TP53; MDM2
skepinone-l,,,,,,,skepinone-L,MAPK14,inhibitor of p38 MAPK,skepinone-L,MAPK14
ski-ii,,,,,,,SKI-II,SPHK1,inhibitor of sphingosine kinase 1,SKI-II,SPHK1
sl0101,,,SL0101,"SL-0101, SL 0101-1",RSK; AURKB; PIM1; PIM3,Other,,,,SL0101; SL 0101-1; SL-0101,PIM1; PIM3; RSK; AURKB
smer-3,,,,,,,SMER-3,CUL1; SKP1,inhibitor of E3-ubiquitin ligase,SMER-3,SKP1; CUL1
sn-38,,,SN-38,"7-Ethyl-10-Hydroxy-Camptothecin, SN 38",TOP1,DNA replication,SN-38,TOP1,metabolite of irinotecan; inhibitor of topoisomerase I,7-Ethyl-10-Hydroxy-Camptothecin; SN 38; SN-38,TOP1
sns-032,,,,,,,SNS-032,CDK16; CDK17; CDK2; CDK7; CDK9; CDKL5,inhibitor of cyclin-dependent kinases,SNS-032,CDK17; CDK2; CDK16; CDKL5; CDK9; CDK7
snx-2112,,,SNX-2112,SNX 2112,HSP90,Protein stability and degradation,SNX-2112,HSP90AA1; HSP90B1,inhibitor of HSP90alpha and HSP90beta,SNX 2112; SNX-2112,HSP90AA1; HSP90; HSP90B1
snx-2112:bortezomib (250:1 mol/mol),,,,,,,SNX-2112:bortezomib (250:1 mol/mol),HSP90AA1; HSP90B1; PSMB1; PSMB2; PSMB5; PSMD1; PSMD2,inhibitor of HSP90alpha and HSP90beta;inhibitor of 26S proteasome,SNX-2112:bortezomib (250:1 mol/mol),PSMB5; HSP90AA1; PSMD2; PSMB2; PSMD1; HSP90B1; PSMB1
sorafenib,Sorafenib,RTK,Sorafenib,"Nexavar, 284461-73-0, BAY 43-9006",PDGFR; KIT; VEGFR; RAF,RTK signaling,sorafenib,BRAF; FLT3; KDR; RAF1,"inhibitor of BRAF, CRAF, and VEGFR2",sorafenib; Nexavar; Sorafenib; 284461-73-0; BAY 43-9006,KDR; BRAF; PDGFR; RTK; VEGFR; RAF1; KIT; RAF; FLT3
sotrastaurin,,,,,,,sotrastaurin,PRKCB,inhibitor of protein kinase C beta,sotrastaurin,PRKCB
spautin-1,,,,,,,spautin-1,USP10; USP13,inhibitor of the deubiquitinase activity of USP13 and USP10,spautin-1,USP13; USP10
sr-ii-138a,,,,,,,SR-II-138A,EIF4A2; EIF4E; EIF4G1,silvestrol analog; inhibits translation by modulating the eIF4F complex,SR-II-138A,EIF4E; EIF4G1; EIF4A2
sr1001,,,,,,,SR1001,RORA; RORC,synthetic ROR ligand; suppressor of TH17 differentiation,SR1001,RORC; RORA
sr8278,,,,,,,SR8278,NR1D1,antagonist of Rev-ErbAalpha,SR8278,NR1D1
srt-1720,,,,,,,SRT-1720,SIRT1,activator of sirtuin-1,SRT-1720,SIRT1
staurosporine,,,,,,,staurosporine,,inhibitor of multiple kinases,staurosporine,NaN
stemregenin 1,,,,,,,StemRegenin 1,AHR,inhibitor of aryl hydrocarbon receptor,StemRegenin 1,AHR
stf-31,,,,,,,STF-31,NAMPT,inhibitor of nicotinamide phosphoribosyltransferase,STF-31,NAMPT
stf-62247,,,STF-62247,STF62247,Autophagy inducer,Other,,,,STF-62247; STF62247,Autophagy inducer
su11274,,,,,,,SU11274,MET,inhibitor of MET,SU11274,MET
sunitinib,,,Sunitinib,"Sutent, Sunitinib Malate, SU-11248",PDGFR; KIT; VEGFR; FLT3; RET; CSF1R,RTK signaling,sunitinib,FLT1; FLT3; KDR; KIT; PDGFRA; PDGFRB,"inhibitor of VEGFRs, c-KIT, and PDGFR alpha and beta",Sunitinib; Sunitinib Malate; Sutent; sunitinib; SU-11248,KDR; PDGFRB; PDGFRA; PDGFR; VEGFR; RET; KIT; CSF1R; FLT1; FLT3
sz4ta2,,,,,,,SZ4TA2,BCL2L1,inhibitor of BCL-xL,SZ4TA2,BCL2L1
t0901317,,,T0901317,"TO-901317, TO901317",LXR; FXR,Other,,,,T0901317; TO-901317; TO901317,FXR; LXR
tacedinaline,,,,,,,tacedinaline,HDAC1; HDAC2; HDAC3; HDAC6; HDAC8,"inhibitor of HDAC1, HDAC2, HDAC3, HDAC6, and HDAC8",tacedinaline,HDAC8; HDAC1; HDAC3; HDAC2; HDAC6
tacrolimus,,,,,,,tacrolimus,PPP3CA; PPP3CB; PPP3CC; PPP3R1; PPP3R2,inhibitor of calcineurin,tacrolimus,PPP3CC; PPP3CA; PPP3CB; PPP3R2; PPP3R1
tae684,TAE684,ALK,NVP-TAE684,"NVP-TAE 684, TAE684, TAE-684",ALK,RTK signaling,NVP-TAE684,ALK,inhibitor of ALK and ALK-NPM fusion protein,TAE684; NVP-TAE684; NVP-TAE 684; TAE-684,ALK
tak-715,,,TAK-715,"KIN001-201, TAK 715",p38alpha; p38beta,JNK and p38 signaling,,,,KIN001-201; TAK 715; TAK-715,p38alpha; p38beta
talazoparib,,,Talazoparib,"BMN-673, BMN 973",PARP1; PARP2,Genome integrity,,,,BMN-673; BMN 973; Talazoparib,PARP1; PARP2
tamatinib,,,,,,,tamatinib,SYK,inhibitor of spleen tyrosine kinase,tamatinib,SYK
tamoxifen,,,Tamoxifen,"Nolvadex, Soltamox, Zynoplex, ICI-46474, Kessar",ESR1,Hormone-related,tamoxifen,ESR1; ESR2,modulator of estrogen receptors,Soltamox; ICI-46474; tamoxifen; Tamoxifen; Kessar; Nolvadex; Zynoplex,ESR1; ESR2
tandutinib,,,,,,,tandutinib,FLT3; KIT,inhibitor of c-KIT and VEGFR3,tandutinib,KIT; FLT3
tanespimycin,17-AAG,HSP90,Tanespimycin,"17-AAG, BMS-722782",HSP90,Protein stability and degradation,tanespimycin,HSP90AA1,inhibitor of HSP90,tanespimycin; Tanespimycin; BMS-722782; 17-AAG,HSP90AA1; HSP90
tanespimycin:bortezomib (250:1 mol/mol),,,,,,,tanespimycin:bortezomib (250:1 mol/mol),HSP90AA1; PSMB1; PSMB2; PSMB5; PSMD1; PSMD2,inhibitor of HSP90;inhibitor of 26S proteasome,tanespimycin:bortezomib (250:1 mol/mol),PSMB5; HSP90AA1; PSMD2; PSMB2; PSMD1; PSMB1
tanespimycin:gemcitabine (1:1 mol/mol),,,,,,,tanespimycin:gemcitabine (1:1 mol/mol),HSP90AA1; CMPK1; RRM1; TYMS,"inhibitor of HSP90;inhibitor of DNA replication; inhibitor of ribonucleotide reductase, thymidylate synthetase, and cytidine monophosphate (UMP-CMP) kinase ",tanespimycin:gemcitabine (1:1 mol/mol),CMPK1; HSP90AA1; TYMS; RRM1
temozolomide,,,Temozolomide,"Temodar, Temodal, M-39831, SCH 52365",DNA alkylating agent,DNA replication,temozolomide,,DNA alkylator,temozolomide; M-39831; Temodar; Temodal; SCH 52365; Temozolomide,DNA alkylating agent
temsirolimus,,,Temsirolimus,"CCI-779, Torisel",MTOR,PI3K/MTOR signaling,temsirolimus,MTOR,inhibitor of mTOR,Temsirolimus; temsirolimus; CCI-779; Torisel,MTOR
teniposide,,,,,,,teniposide,TOP2A; TOP2B,inhibitor of topoisomerase II,teniposide,TOP2B; TOP2A
tg-100-115,,,,,,,TG-100-115,PIK3CD; PIK3CG,inhibitor of PI3K catalytic subunits delta and gamma,TG-100-115,PIK3CG; PIK3CD
tgx221,,,TGX221,"TGX-221, Tgx 221",PI3Kbeta,PI3K/MTOR signaling,TGX-221,PIK3CB,inhibitor of PI3K catalytic subunit beta,TGX-221; Tgx 221; TGX221,PIK3CB; PI3Kbeta
thalidomide,,,,,,,thalidomide,CRBN,immunomodulatory drug; binder of cereblon,thalidomide,CRBN
thapsigargin,,,Thapsigargin,Octanoic acid,SERCA,Other,,,,Octanoic acid; Thapsigargin,SERCA
thz-2-102-1,,,THZ-2-102-1,,CDK7,Cell cycle,,,,THZ-2-102-1,CDK7
thz-2-49,,,THZ-2-49,,CDK9,Cell cycle,,,,THZ-2-49,CDK9
tigecycline,,,,,,,tigecycline,,analog of tetracycline,tigecycline,NaN
tipifarnib,,,Tipifarnib,Zarnestra,Farnesyl-transferase (FNTA),Other,,,,Tipifarnib; Zarnestra,Farnesyl-transferase (FNTA)
tipifarnib-p1,,,,,,,tipifarnib-P1,FNTA,inhibitor of farnesyltransferase,tipifarnib-P1,FNTA
tipifarnib-p2,,,,,,,tipifarnib-P2,FNTA,inhibitor of farnesyltransferase,tipifarnib-P2,FNTA
tivantinib,,,,,,,tivantinib,MET,inhibitor of MET; inhibitor of microtubule assembly,tivantinib,MET
tivozanib,,,Tivozanib,"AV-951, AV 951, KRN-951, KIL8951, ASP-4130",VEGFR1; VEGFR2; VEGFR3,RTK signaling,tivozanib,FLT1; FLT3; KDR,inhibitor of VEGFRs,AV-951; KIL8951; AV 951; KRN-951; ASP-4130; Tivozanib; tivozanib,VEGFR3; KDR; VEGFR2; VEGFR1; FLT1; FLT3
tki258,TKI258,FGFR,,,,,,,,TKI258,FGFR
tl-1-85,,,TL-1-85,,TAK,"Other, kinases",,,,TL-1-85,TAK
tl-2-105,,,TL-2-105,,not defined,Unclassified,,,,TL-2-105,not defined
topotecan,Topotecan,TOP1,,,,,topotecan,TOP1,inhibitor of topoisomerase I,topotecan; Topotecan,TOP1
tosedostat,,,,,,,tosedostat,ANPEP; LAP3; NPEPPS,"inhibitor of leucine aminopeptidase 3 (LAP), puromycin-sensitive aminopeptidase (PuSA), and aminopeptidase N",tosedostat,LAP3; ANPEP; NPEPPS
tozasertib,,,Tozasertib,"MK 0457,MK-0457,MK-045, VX-680 VX 680 VX-68",AURKA; AURKB; AURKC; others,Mitosis,,,,"MK 0457,MK-0457,MK-045; VX-680 VX 680 VX-68; Tozasertib",others; AURKA; AURKC; AURKB
tpca-1,,,TPCA-1,,IKK2,"Other, kinases",TPCA-1,IKBKB,inhibitor of IKK-2,TPCA-1,IKK2; IKBKB
trametinib,,,Trametinib,"GSK1120212, Mekinist",MEK1; MEK2,ERK MAPK signaling,trametinib,MAP2K1; MAP2K2,inhibitor of MEK1 and MEK2,Mekinist; Trametinib; trametinib; GSK1120212,MAP2K1; MEK1; MEK2; MAP2K2
tretinoin,,,Tretinoin,"ATRA, Vesanoid, Renova, Atralin, Tretin-X, Avita",Retinoic acid ,Other,tretinoin,RARA; RARB; RARG,agonist of retinoid acid receptors,Avita; ATRA; Tretinoin; Tretin-X; Atralin; tretinoin; Renova; Vesanoid,RARG; Retinoic acid ; RARA; RARB
tretinoin:carboplatin (2:1 mol/mol),,,,,,,tretinoin:carboplatin (2:1 mol/mol),RARA; RARB; RARG,agonist of retinoid acid receptors;inducer of DNA damage,tretinoin:carboplatin (2:1 mol/mol),RARG; RARA; RARB
tretinoin:navitoclax (4:1 mol/mol),,,,,,,tretinoin:navitoclax (4:1 mol/mol),RARA; RARB; RARG; BCL2; BCL2L1; BCL2L2,"agonist of retinoid acid receptors;inhibitor of BCL2, BCL-xL, and BCL-W",tretinoin:navitoclax (4:1 mol/mol),BCL2; RARG; BCL2L2; BCL2L1; RARA; RARB
triazolothiadiazine,,,,,,,triazolothiadiazine,PDE4A; PDE4B; PDE4D,inhibitor of phosphdiesterase 4A/B/D,triazolothiadiazine,PDE4D; PDE4A; PDE4B
trifluoperazine,,,,,,,trifluoperazine,DRD2,antagonist of dopamine receptor D2,trifluoperazine,DRD2
triptolide,,,,,,,triptolide,,natural product; inhibitor of RNA polymerase II,triptolide,NaN
tubastatin a,,,Tubastatin A,,HDAC1; HDAC6; HDAC8,Chromatin histone acetylation,tubastatin A,HDAC6,inhibitor of tubulin deacetylase activity of HDAC6,tubastatin A; Tubastatin A,HDAC1; HDAC8; HDAC6
tw-37,,,TW 37,"TW37, TW-37",BCL2; BCL-XL; MCL1,Apoptosis regulation,TW-37,BCL2; BCL2L1,inhibitor of BCL2 and BCL-xL,TW37; TW-37; TW 37,BCL2; MCL1; BCL2L1; BCL-XL
unc0321,,,,,,,UNC0321,EHMT2,inhibitor of G9a histone methyltransferase,UNC0321,EHMT2
unc0638,,,UNC0638,"UNC-0638, UNC 0683",G9a and GLP methyltransferases,Chromatin histone methylation,UNC0638,EHMT1; EHMT2,inhibitor of EHMT2 and GLP methyltransferase,UNC-0638; UNC0638; UNC 0683,EHMT1; EHMT2; G9a and GLP methyltransferases
unc0638:navitoclax (1:1 mol/mol),,,,,,,UNC0638:navitoclax (1:1 mol/mol),EHMT1; EHMT2; BCL2; BCL2L1; BCL2L2,"inhibitor of EHMT2 and GLP methyltransferase;inhibitor of BCL2, BCL-xL, and BCL-W",UNC0638:navitoclax (1:1 mol/mol),BCL2; BCL2L2; EHMT1; BCL2L1; EHMT2
unc1215,,,UNC1215,UNC-1215,L3MBTL3,Chromatin other,,,,UNC-1215; UNC1215,L3MBTL3
vaf-347,,,,,,,VAF-347,AHR,inhibitor of aryl hydrocarbon receptor,VAF-347,AHR
valdecoxib,,,,,,,valdecoxib,PTGS2,inhibitor of cyclooxygenase-2 (COX2),valdecoxib,PTGS2
vandetanib,,,,,,,vandetanib,EGFR; KDR,inhibitor of VEGFR2 and EGFR,vandetanib,EGFR; KDR
veliparib,,,Veliparib,"ABT-888, ABT888, ABT 888",PARP1; PARP2,Genome integrity,veliparib,PARP1; PARP2,inhibitor of poly (ADP-ribose) polymerase 1 (PARP1) and 2 (PARP2),ABT 888; Veliparib; veliparib; ABT888; ABT-888,PARP1; PARP2
ver-155008,,,,,,,VER-155008,HSPA1A; HSPA1B; HSPA1L,inhibitor of HSP70,VER-155008,HSPA1A; HSPA1B; HSPA1L
vinblastine,,,Vinblastine,Velban,Microtubule destabiliser,Mitosis,,,,Vinblastine; Velban,Microtubule destabiliser
vincristine,,,,,,,vincristine,,inhibitor of mictrotubule assembly,vincristine,NaN
vinorelbine ,,,Vinorelbine ,"vinorelbine tartrate, Navelbine, Exelbine",Microtubule destabiliser,Mitosis,,,,Navelbine; Exelbine; Vinorelbine ; vinorelbine tartrate,Microtubule destabiliser
vismodegib,,,Vismodegib,"GDC0449, Erivedge",SMO,Other,,,,Vismodegib; Erivedge; GDC0449,SMO
vnlg/124,,,VNLG/124,HDAC inhibitor XV,"HDAC,RAR",Chromatin histone acetylation,,,,HDAC inhibitor XV; VNLG/124,"HDAC,RAR"
vorapaxar,,,,,,,vorapaxar,F2R,antagonist of proteinase-activated receptor 1 (PAR1),vorapaxar,F2R
vorinostat,,,Vorinostat,"Zolinza, SAHA, suberanilohydroxamic acid, suberoylanilide hydroxamic acid, MK-0683",HDAC inhibitor Class I; IIa; IIb; IV,Chromatin histone acetylation,vorinostat,HDAC1; HDAC2; HDAC3; HDAC6; HDAC8,"inhibitor of HDAC1, HDAC2, HDAC3, HDAC6, and HDAC8",suberoylanilide hydroxamic acid; vorinostat; suberanilohydroxamic acid; SAHA; MK-0683; Zolinza; Vorinostat,IIa; HDAC8; HDAC1; HDAC3; IV; HDAC2; HDAC inhibitor Class I; IIb; HDAC6
vorinostat:carboplatin (1:1 mol/mol),,,,,,,vorinostat:carboplatin (1:1 mol/mol),HDAC1; HDAC2; HDAC3; HDAC6; HDAC8,"inhibitor of HDAC1, HDAC2, HDAC3, HDAC6, and HDAC8;inducer of DNA damage",vorinostat:carboplatin (1:1 mol/mol),HDAC8; HDAC1; HDAC3; HDAC2; HDAC6
vorinostat:navitoclax (4:1 mol/mol),,,,,,,vorinostat:navitoclax (4:1 mol/mol),HDAC1; HDAC2; HDAC3; HDAC6; HDAC8; BCL2; BCL2L1; BCL2L2,"inhibitor of HDAC1, HDAC2, HDAC3, HDAC6, and HDAC8;inhibitor of BCL2, BCL-xL, and BCL-W",vorinostat:navitoclax (4:1 mol/mol),HDAC8; HDAC1; BCL2; BCL2L2; HDAC3; BCL2L1; HDAC2; HDAC6
vu0155056,,,,,,,VU0155056,PLD1; PLD2,inhibitor of phospholipase D1/D2,VU0155056,PLD2; PLD1
vx-11e,,,VX-11e,"VX11e, VX11e",ERK2,ERK MAPK signaling,,,,VX-11e; VX11e,ERK2
vx-680,,,,,,,VX-680,AURKA; AURKB; AURKC,inhibitor of aurora kinases,VX-680,AURKA; AURKC; AURKB
vx-702,,,VX-702,"VX702, VX 702",p38,JNK and p38 signaling,,,,VX702; VX-702; VX 702,p38
way-362450,,,,,,,WAY-362450,NR1H4,agonist of farnesoid X receptor,WAY-362450,NR1H4
wee1 inhibitor,,,Wee1 Inhibitor,"681640, Wee1 Inhibitor",WEE1; CHEK1,Cell cycle,,,,681640; Wee1 Inhibitor,CHEK1; WEE1
wh-4-023,,,WH-4-023,KIN001-112,SRC; LCK,"Other, kinases",,,,KIN001-112; WH-4-023,LCK; SRC
whi-p97,,,WHI-P97,"AC1L1GQE, KIN001-055",JAK3,"Other, kinases",,,,WHI-P97; KIN001-055; AC1L1GQE,JAK3
wp1130,,,,,,,WP1130,UCHL5; USP14; USP5; USP9X,"inhibitor of the deubiquitinase activity of USP9X, USP5, USP14, and UCH37",WP1130,USP5; UCHL5; USP14; USP9X
wz-1-84,,,WZ-1-84,KIN001-123,BMX,"Other, kinases",,,,WZ-1-84; KIN001-123,BMX
wz3105,,,WZ3105,,SRC; ROCK2; NTRK2; FLT3; IRAK1; others,Other,,,,WZ3105,ROCK2; NTRK2; SRC; others; IRAK1; FLT3
wz4002,,,,,,,WZ4002,EGFR,inhibitor of EGFR targeting T790M resistance,WZ4002,EGFR
