drug,ccle_drug_name,ccle_target,gdsc_drug_name,gdsc_synonyms,gdsc_target,gdsc_target_pathway,ctrp_drug_name,ctrp_target,ctrp_target_description,synonyms
sr1001,,,,,,,SR1001,RORA; RORC,synthetic ROR ligand; suppressor of TH17 differentiation,SR1001
sr8278,,,,,,,SR8278,NR1D1,antagonist of Rev-ErbAalpha,SR8278
srt-1720,,,,,,,SRT-1720,SIRT1,activator of sirtuin-1,SRT-1720
staurosporine,,,,,,,staurosporine,,inhibitor of multiple kinases,staurosporine
stemregenin 1,,,,,,,StemRegenin 1,AHR,inhibitor of aryl hydrocarbon receptor,StemRegenin 1
stf-31,,,,,,,STF-31,NAMPT,inhibitor of nicotinamide phosphoribosyltransferase,STF-31
stf-62247,,,STF-62247,STF62247,Autophagy inducer,Other,,,,STF-62247; STF62247
su11274,,,,,,,SU11274,MET,inhibitor of MET,SU11274
sunitinib,,,Sunitinib,"Sutent, Sunitinib Malate, SU-11248",PDGFR; KIT; VEGFR; FLT3; RET; CSF1R,RTK signaling,sunitinib,FLT1; FLT3; KDR; KIT; PDGFRA; PDGFRB,"inhibitor of VEGFRs, c-KIT, and PDGFR alpha and beta",Sunitinib; Sunitinib Malate; Sutent; sunitinib; SU-11248
sz4ta2,,,,,,,SZ4TA2,BCL2L1,inhibitor of BCL-xL,SZ4TA2
t0901317,,,T0901317,"TO-901317, TO901317",LXR; FXR,Other,,,,T0901317; TO-901317; TO901317
tacedinaline,,,,,,,tacedinaline,HDAC1; HDAC2; HDAC3; HDAC6; HDAC8,"inhibitor of HDAC1, HDAC2, HDAC3, HDAC6, and HDAC8",tacedinaline
tacrolimus,,,,,,,tacrolimus,PPP3CA; PPP3CB; PPP3CC; PPP3R1; PPP3R2,inhibitor of calcineurin,tacrolimus
tae684,TAE684,ALK,NVP-TAE684,"NVP-TAE 684, TAE684, TAE-684",ALK,RTK signaling,NVP-TAE684,ALK,inhibitor of ALK and ALK-NPM fusion protein,TAE684; NVP-TAE684; NVP-TAE 684; TAE-684
tak-715,,,TAK-715,"KIN001-201, TAK 715",p38alpha; p38beta,JNK and p38 signaling,,,,KIN001-201; TAK 715; TAK-715
talazoparib,,,Talazoparib,"BMN-673, BMN 973",PARP1; PARP2,Genome integrity,,,,BMN-673; BMN 973; Talazoparib
tamatinib,,,,,,,tamatinib,SYK,inhibitor of spleen tyrosine kinase,tamatinib
tamoxifen,,,Tamoxifen,"Nolvadex, Soltamox, Zynoplex, ICI-46474, Kessar",ESR1,Hormone-related,tamoxifen,ESR1; ESR2,modulator of estrogen receptors,Soltamox; ICI-46474; tamoxifen; Tamoxifen; Kessar; Nolvadex; Zynoplex
tandutinib,,,,,,,tandutinib,FLT3; KIT,inhibitor of c-KIT and VEGFR3,tandutinib
tanespimycin,17-AAG,HSP90,Tanespimycin,"17-AAG, BMS-722782",HSP90,Protein stability and degradation,tanespimycin,HSP90AA1,inhibitor of HSP90,tanespimycin; Tanespimycin; BMS-722782; 17-AAG
tanespimycin:bortezomib (250:1 mol/mol),,,,,,,tanespimycin:bortezomib (250:1 mol/mol),HSP90AA1; PSMB1; PSMB2; PSMB5; PSMD1; PSMD2,inhibitor of HSP90;inhibitor of 26S proteasome,tanespimycin:bortezomib (250:1 mol/mol)
tanespimycin:gemcitabine (1:1 mol/mol),,,,,,,tanespimycin:gemcitabine (1:1 mol/mol),HSP90AA1; CMPK1; RRM1; TYMS,"inhibitor of HSP90;inhibitor of DNA replication; inhibitor of ribonucleotide reductase, thymidylate synthetase, and cytidine monophosphate (UMP-CMP) kinase ",tanespimycin:gemcitabine (1:1 mol/mol)
temozolomide,,,Temozolomide,"Temodar, Temodal, M-39831, SCH 52365",DNA alkylating agent,DNA replication,temozolomide,,DNA alkylator,temozolomide; M-39831; Temodar; Temodal; SCH 52365; Temozolomide
temsirolimus,,,Temsirolimus,"CCI-779, Torisel",MTOR,PI3K/MTOR signaling,temsirolimus,MTOR,inhibitor of mTOR,Temsirolimus; temsirolimus; CCI-779; Torisel
teniposide,,,,,,,teniposide,TOP2A; TOP2B,inhibitor of topoisomerase II,teniposide
tg-100-115,,,,,,,TG-100-115,PIK3CD; PIK3CG,inhibitor of PI3K catalytic subunits delta and gamma,TG-100-115
tgx221,,,TGX221,"TGX-221, Tgx 221",PI3Kbeta,PI3K/MTOR signaling,TGX-221,PIK3CB,inhibitor of PI3K catalytic subunit beta,TGX-221; Tgx 221; TGX221
thalidomide,,,,,,,thalidomide,CRBN,immunomodulatory drug; binder of cereblon,thalidomide
thapsigargin,,,Thapsigargin,Octanoic acid,SERCA,Other,,,,Octanoic acid; Thapsigargin
thz-2-102-1,,,THZ-2-102-1,,CDK7,Cell cycle,,,,THZ-2-102-1
thz-2-49,,,THZ-2-49,,CDK9,Cell cycle,,,,THZ-2-49
tigecycline,,,,,,,tigecycline,,analog of tetracycline,tigecycline
tipifarnib,,,Tipifarnib,Zarnestra,Farnesyl-transferase (FNTA),Other,,,,Tipifarnib; Zarnestra
tipifarnib-p1,,,,,,,tipifarnib-P1,FNTA,inhibitor of farnesyltransferase,tipifarnib-P1
tipifarnib-p2,,,,,,,tipifarnib-P2,FNTA,inhibitor of farnesyltransferase,tipifarnib-P2
tivantinib,,,,,,,tivantinib,MET,inhibitor of MET; inhibitor of microtubule assembly,tivantinib
tivozanib,,,Tivozanib,"AV-951, AV 951, KRN-951, KIL8951, ASP-4130",VEGFR1; VEGFR2; VEGFR3,RTK signaling,tivozanib,FLT1; FLT3; KDR,inhibitor of VEGFRs,AV-951; KIL8951; AV 951; KRN-951; ASP-4130; Tivozanib; tivozanib
tki258,TKI258,FGFR,,,,,,,,TKI258
tl-1-85,,,TL-1-85,,TAK,"Other, kinases",,,,TL-1-85
tl-2-105,,,TL-2-105,,not defined,Unclassified,,,,TL-2-105
topotecan,Topotecan,TOP1,,,,,topotecan,TOP1,inhibitor of topoisomerase I,topotecan; Topotecan
tosedostat,,,,,,,tosedostat,ANPEP; LAP3; NPEPPS,"inhibitor of leucine aminopeptidase 3 (LAP), puromycin-sensitive aminopeptidase (PuSA), and aminopeptidase N",tosedostat
tozasertib,,,Tozasertib,"MK 0457,MK-0457,MK-045, VX-680 VX 680 VX-68",AURKA; AURKB; AURKC; others,Mitosis,,,,"MK 0457,MK-0457,MK-045; VX-680 VX 680 VX-68; Tozasertib"
tpca-1,,,TPCA-1,,IKK2,"Other, kinases",TPCA-1,IKBKB,inhibitor of IKK-2,TPCA-1
trametinib,,,Trametinib,"GSK1120212, Mekinist",MEK1; MEK2,ERK MAPK signaling,trametinib,MAP2K1; MAP2K2,inhibitor of MEK1 and MEK2,Mekinist; Trametinib; trametinib; GSK1120212
tretinoin,,,Tretinoin,"ATRA, Vesanoid, Renova, Atralin, Tretin-X, Avita",Retinoic acid ,Other,tretinoin,RARA; RARB; RARG,agonist of retinoid acid receptors,Avita; ATRA; Tretinoin; Tretin-X; Atralin; tretinoin; Renova; Vesanoid
tretinoin:carboplatin (2:1 mol/mol),,,,,,,tretinoin:carboplatin (2:1 mol/mol),RARA; RARB; RARG,agonist of retinoid acid receptors;inducer of DNA damage,tretinoin:carboplatin (2:1 mol/mol)
tretinoin:navitoclax (4:1 mol/mol),,,,,,,tretinoin:navitoclax (4:1 mol/mol),RARA; RARB; RARG; BCL2; BCL2L1; BCL2L2,"agonist of retinoid acid receptors;inhibitor of BCL2, BCL-xL, and BCL-W",tretinoin:navitoclax (4:1 mol/mol)
triazolothiadiazine,,,,,,,triazolothiadiazine,PDE4A; PDE4B; PDE4D,inhibitor of phosphdiesterase 4A/B/D,triazolothiadiazine
trifluoperazine,,,,,,,trifluoperazine,DRD2,antagonist of dopamine receptor D2,trifluoperazine
triptolide,,,,,,,triptolide,,natural product; inhibitor of RNA polymerase II,triptolide
tubastatin a,,,Tubastatin A,,HDAC1; HDAC6; HDAC8,Chromatin histone acetylation,tubastatin A,HDAC6,inhibitor of tubulin deacetylase activity of HDAC6,tubastatin A; Tubastatin A
tw-37,,,TW 37,"TW37, TW-37",BCL2; BCL-XL; MCL1,Apoptosis regulation,TW-37,BCL2; BCL2L1,inhibitor of BCL2 and BCL-xL,TW37; TW-37; TW 37
unc0321,,,,,,,UNC0321,EHMT2,inhibitor of G9a histone methyltransferase,UNC0321
unc0638,,,UNC0638,"UNC-0638, UNC 0683",G9a and GLP methyltransferases,Chromatin histone methylation,UNC0638,EHMT1; EHMT2,inhibitor of EHMT2 and GLP methyltransferase,UNC-0638; UNC0638; UNC 0683
unc0638:navitoclax (1:1 mol/mol),,,,,,,UNC0638:navitoclax (1:1 mol/mol),EHMT1; EHMT2; BCL2; BCL2L1; BCL2L2,"inhibitor of EHMT2 and GLP methyltransferase;inhibitor of BCL2, BCL-xL, and BCL-W",UNC0638:navitoclax (1:1 mol/mol)
unc1215,,,UNC1215,UNC-1215,L3MBTL3,Chromatin other,,,,UNC-1215; UNC1215
vaf-347,,,,,,,VAF-347,AHR,inhibitor of aryl hydrocarbon receptor,VAF-347
valdecoxib,,,,,,,valdecoxib,PTGS2,inhibitor of cyclooxygenase-2 (COX2),valdecoxib
vandetanib,,,,,,,vandetanib,EGFR; KDR,inhibitor of VEGFR2 and EGFR,vandetanib
veliparib,,,Veliparib,"ABT-888, ABT888, ABT 888",PARP1; PARP2,Genome integrity,veliparib,PARP1; PARP2,inhibitor of poly (ADP-ribose) polymerase 1 (PARP1) and 2 (PARP2),ABT 888; Veliparib; veliparib; ABT888; ABT-888
ver-155008,,,,,,,VER-155008,HSPA1A; HSPA1B; HSPA1L,inhibitor of HSP70,VER-155008
vinblastine,,,Vinblastine,Velban,Microtubule destabiliser,Mitosis,,,,Vinblastine; Velban
vincristine,,,,,,,vincristine,,inhibitor of mictrotubule assembly,vincristine
vinorelbine ,,,Vinorelbine ,"vinorelbine tartrate, Navelbine, Exelbine",Microtubule destabiliser,Mitosis,,,,Navelbine; Exelbine; Vinorelbine ; vinorelbine tartrate
vismodegib,,,Vismodegib,"GDC0449, Erivedge",SMO,Other,,,,Vismodegib; Erivedge; GDC0449
vnlg/124,,,VNLG/124,HDAC inhibitor XV,"HDAC,RAR",Chromatin histone acetylation,,,,HDAC inhibitor XV; VNLG/124
vorapaxar,,,,,,,vorapaxar,F2R,antagonist of proteinase-activated receptor 1 (PAR1),vorapaxar
vorinostat,,,Vorinostat,"Zolinza, SAHA, suberanilohydroxamic acid, suberoylanilide hydroxamic acid, MK-0683",HDAC inhibitor Class I; IIa; IIb; IV,Chromatin histone acetylation,vorinostat,HDAC1; HDAC2; HDAC3; HDAC6; HDAC8,"inhibitor of HDAC1, HDAC2, HDAC3, HDAC6, and HDAC8",suberoylanilide hydroxamic acid; vorinostat; suberanilohydroxamic acid; SAHA; MK-0683; Zolinza; Vorinostat
vorinostat:carboplatin (1:1 mol/mol),,,,,,,vorinostat:carboplatin (1:1 mol/mol),HDAC1; HDAC2; HDAC3; HDAC6; HDAC8,"inhibitor of HDAC1, HDAC2, HDAC3, HDAC6, and HDAC8;inducer of DNA damage",vorinostat:carboplatin (1:1 mol/mol)
vorinostat:navitoclax (4:1 mol/mol),,,,,,,vorinostat:navitoclax (4:1 mol/mol),HDAC1; HDAC2; HDAC3; HDAC6; HDAC8; BCL2; BCL2L1; BCL2L2,"inhibitor of HDAC1, HDAC2, HDAC3, HDAC6, and HDAC8;inhibitor of BCL2, BCL-xL, and BCL-W",vorinostat:navitoclax (4:1 mol/mol)
vu0155056,,,,,,,VU0155056,PLD1; PLD2,inhibitor of phospholipase D1/D2,VU0155056
vx-11e,,,VX-11e,"VX11e, VX11e",ERK2,ERK MAPK signaling,,,,VX-11e; VX11e
vx-680,,,,,,,VX-680,AURKA; AURKB; AURKC,inhibitor of aurora kinases,VX-680
vx-702,,,VX-702,"VX702, VX 702",p38,JNK and p38 signaling,,,,VX702; VX-702; VX 702
way-362450,,,,,,,WAY-362450,NR1H4,agonist of farnesoid X receptor,WAY-362450
wee1 inhibitor,,,Wee1 Inhibitor,"681640, Wee1 Inhibitor",WEE1; CHEK1,Cell cycle,,,,681640; Wee1 Inhibitor
wh-4-023,,,WH-4-023,KIN001-112,SRC; LCK,"Other, kinases",,,,KIN001-112; WH-4-023
whi-p97,,,WHI-P97,"AC1L1GQE, KIN001-055",JAK3,"Other, kinases",,,,WHI-P97; KIN001-055; AC1L1GQE
wp1130,,,,,,,WP1130,UCHL5; USP14; USP5; USP9X,"inhibitor of the deubiquitinase activity of USP9X, USP5, USP14, and UCH37",WP1130
wz-1-84,,,WZ-1-84,KIN001-123,BMX,"Other, kinases",,,,WZ-1-84; KIN001-123
wz3105,,,WZ3105,,SRC; ROCK2; NTRK2; FLT3; IRAK1; others,Other,,,,WZ3105
wz4002,,,,,,,WZ4002,EGFR,inhibitor of EGFR targeting T790M resistance,WZ4002
wz8040,,,,,,,WZ8040,EGFR,inhibitor of EGFR targeting T790M resistance,WZ8040
xav939,,,XAV939,"NVP-XAV939, XAV-939, XAV 939",TNKS1; TNKS2,WNT signaling,,,,XAV939; XAV 939; XAV-939; NVP-XAV939
xl765,,,,,,,XL765,MTOR; PIK3CA; PIK3CB; PIK3CD; PIK3CG; PRKDC,inhibitor of mTOR and PI3K kinase acitivities,XL765
xmd11-85h,,,XMD11-85h,,BRSK2; FLT4; MARK4; PRKCD; RET; SPRK1,Other,,,,XMD11-85h
xmd13-2,,,XMD13-2,,RIPK1,Apoptosis regulation,,,,XMD13-2
xmd14-99,,,XMD14-99,,ALK; CDK7; LTK; others,Other,,,,XMD14-99
xmd15-27,,,XMD15-27,,CAMK2,"Other, kinases",,,,XMD15-27
xmd8-85,,,XMD8-85,ERK5-IN-1,ERK5; BET,Other,,,,XMD8-85; ERK5-IN-1
xmd8-92,,,XMD8-92,XMD 8-92,MAPK7,"Other, kinases",,,,XMD8-92; XMD 8-92
y-39983,,,Y-39983,,ROCK,Cytoskeleton,,,,Y-39983
yk-4-279,,,YK-4-279,YK 4-279,RNA helicase A,Other,YK 4-279,DHX9; ERG; ETV1,inhibitor of RNA helicase A (RHA) binding to EWS-FLI1; inhibitor of ERG and ETV1 activity,YK-4-279; YK 4-279
yl54,,,,,,,YL54,,stapled helical peptide,YL54
ym201636,,,YM201636,"YM-201636, YM 201636",PYKFYVE,Other,,,,YM201636; YM 201636; YM-201636
z-llnle-cho,,,Z-LLNle-CHO,"Z-L-Norleucine-CHO, Gamma-Secretase Inhibitor 1",gamma-secretase,Other,,,,Gamma-Secretase Inhibitor 1; Z-L-Norleucine-CHO; Z-LLNle-CHO
zd-6474,ZD-6474,EGFR,,,,,,,,ZD-6474
zebularine,,,,,,,zebularine,DNMT1,inhibitor of DNA methyltransferases,zebularine
zg-10,,,ZG-10,,JNK1,JNK and p38 signaling,,,,ZG-10
zibotentan,,,Zibotentan,"ZD4054, ZD-4054",Endothelin-1 receptor (EDNRA),Other,,,,Zibotentan; ZD4054; ZD-4054
zm447439,,,ZM447439,"ZM-447439, ZM 447439",AURKA; AURKB,Mitosis,,,,ZM447439; ZM 447439; ZM-447439
zstk474,,,ZSTK474,"KIN001-167, ZSTK-474, ZSTK 474",PI3K (class 1),PI3K/MTOR signaling,ZSTK474,PIK3CB; PIK3CD; PIK3CG,"inhibitor of PI3K catalytic subunits beta, delta, and gamma",ZSTK-474; ZSTK 474; ZSTK474; KIN001-167
